round,source,target,count,value
1,8,13,0,0
1,8,14,0,0
1,8,15,0,0
1,8,16,5,11969
1,8,17,4,611
1,8,18,5,2879
1,8,19,4,1027
1,8,20,0,0
1,8,21,0,0
1,8,22,0,0
1,8,23,0,0
1,8,24,2,6178
1,8,25,2,558
1,8,26,1,2923
1,8,27,0,0
1,8,28,0,0
1,8,29,0,0
1,8,30,0,0
1,8,31,4,12497
1,9,0,4,6279
1,9,1,3,3005
1,9,2,4,2231
1,9,3,4,1057
1,9,4,0,0
1,9,5,0,0
1,9,6,0,0
1,9,7,0,0
1,9,8,4,5360
1,9,9,3,3113
1,9,10,4,5313
1,9,11,4,7333
1,9,12,0,0
1,9,13,0,0
1,9,14,0,0
1,9,15,0,0
1,9,16,4,6484
1,9,17,4,4010
1,9,18,4,2476
1,9,19,4,1227
1,9,20,0,0
1,9,21,0,0
1,9,22,0,0
1,9,23,0,0
1,9,24,2,3440
1,9,25,3,4697
1,9,26,2,227
1,9,27,0,0
1,9,28,0,0
1,9,29,0,0
1,9,30,0,0
1,9,31,4,8739
1,10,0,4,8792
1,10,1,3,4656
1,10,2,4,9084
1,10,3,3,16
1,10,4,2,523
1,10,5,0,0
1,10,6,0,0
1,10,7,0,0
1,10,8,4,4572
1,10,9,3,4399
1,10,10,4,6184
1,10,11,4,4925
1,10,12,0,0
1,10,13,4,1089
1,10,14,0,0
1,10,15,0,0
1,10,16,3,271
1,10,17,4,1305
1,10,18,2,1934
1,10,19,3,3631
1,10,20,0,2975
1,10,21,0,119
1,10,22,0,0
1,10,23,0,0
1,10,24,2,12
1,10,25,4,4614
1,10,26,2,0
1,10,27,0,0
1,10,28,1,26
1,10,29,0,2127
1,10,30,0,0
1,10,31,4,3766
1,11,0,4,6091
1,11,1,3,554
1,11,2,3,1511
1,11,3,0,0
1,11,4,3,1638
1,11,5,4,3265
1,11,6,0,0
1,11,7,0,0
1,11,8,4,1191
1,11,9,3,4761
1,11,10,4,1993
1,11,11,4,9038
1,11,12,3,3678
1,11,13,4,5168
1,11,14,0,0
1,11,15,0,0
1,11,16,2,178
1,11,17,3,356
1,11,18,2,206
1,11,19,3,4200
1,11,20,3,1701
1,11,21,4,7097
1,11,22,0,0
1,11,23,2,0
1,11,24,0,0
1,11,25,3,540
1,11,26,0,0
1,11,27,2,6136
1,11,28,3,1491
1,11,29,2,3716
1,11,30,0,0
1,11,31,4,463
1,12,0,4,1550
1,12,1,3,0
1,12,2,0,5
1,12,3,0,0
1,12,4,4,5021
1,12,5,4,6369
1,12,6,0,0
1,12,7,2,6
1,12,8,3,136
1,12,9,2,2115
1,12,10,1,1
1,12,11,2,3145
1,12,12,3,9893
1,12,13,4,8949
1,12,14,0,0
1,12,15,2,43
1,12,16,2,0
1,12,17,1,16
1,12,18,0,0
1,12,19,3,5
1,12,20,4,6529
1,12,21,4,6286
1,12,22,0,0
1,12,23,2,149
1,12,24,0,0
1,12,25,3,0
1,12,26,0,0
1,12,27,5,7683
1,12,28,3,1824
1,12,29,2,5265
1,12,30,0,0
1,12,31,2,0
1,13,0,0,0
1,13,1,0,0
1,13,2,0,0
1,13,3,0,0
1,13,4,4,10163
1,13,5,4,7545
1,13,6,2,2557
1,13,7,3,2852
1,13,8,0,0
1,13,9,0,0
1,13,10,0,0
1,13,11,0,0
1,13,12,3,10500
1,13,13,5,6205
1,13,14,3,1175
1,13,15,4,3855
1,13,16,0,0
1,13,17,0,0
1,13,18,0,0
1,13,19,0,0
1,13,20,3,2933
1,13,21,4,3394
1,13,22,1,15
1,13,23,3,970
1,13,24,0,0
1,13,25,0,0
1,13,26,0,0
1,13,27,5,5343
1,13,28,3,394
1,13,29,2,1188
1,13,30,0,5951
1,13,31,0,0
1,14,0,0,0
1,14,1,0,0
1,14,2,0,0
1,14,3,0,0
1,14,4,4,12164
1,14,5,4,2887
1,14,6,2,7991
1,14,7,4,7618
1,14,8,0,0
1,14,9,0,0
1,14,10,0,0
1,14,11,0,0
1,14,12,3,2761
1,14,13,4,185
1,14,14,3,11592
1,14,15,4,5810
1,14,16,0,0
1,14,17,0,0
1,14,18,0,0
1,14,19,0,0
1,14,20,5,4046
1,14,21,3,0
1,14,22,5,1553
1,14,23,2,544
1,14,24,0,0
1,14,25,0,0
1,14,26,0,0
1,14,27,4,914
1,14,28,2,1
1,14,29,2,4
1,14,30,4,6820
1,14,31,0,0
1,15,0,0,0
1,15,1,0,0
1,15,2,0,0
1,15,3,0,0
1,15,4,4,3414
1,15,5,0,0
1,15,6,2,5865
1,15,7,4,11955
1,15,8,0,0
1,15,9,0,0
1,15,10,0,0
1,15,11,0,0
1,15,12,2,0
1,15,13,0,0
1,15,14,4,12061
1,15,15,4,6153
1,15,16,0,0
1,15,17,0,0
1,15,18,0,0
1,15,19,0,0
1,15,20,4,5463
1,15,21,0,0
1,15,22,5,1392
1,15,23,2,4911
1,15,24,0,0
1,15,25,0,0
1,15,26,0,0
1,15,27,5,519
1,15,28,0,0
1,15,29,0,0
1,15,30,4,5107
1,15,31,0,0
1,16,0,5,5933
1,16,1,0,13
1,16,2,2,0
1,16,3,5,8282
1,16,4,0,0
1,16,5,0,0
1,16,6,0,0
1,16,7,0,0
1,16,8,3,222
1,16,9,2,6
1,16,10,1,2
1,16,11,3,2063
1,16,12,0,0
1,16,13,0,0
1,16,14,0,0
1,16,15,0,0
1,16,16,5,10853
1,16,17,4,2030
1,16,18,3,6181
1,16,19,5,9867
1,16,20,0,0
1,16,21,0,0
1,16,22,0,0
1,16,23,0,0
1,16,24,2,4224
1,16,25,2,53
1,16,26,3,8355
1,16,27,0,0
1,16,28,0,0
1,16,29,0,0
1,16,30,0,0
1,16,31,4,6687
1,17,0,6,5639
1,17,1,2,2284
1,17,2,3,37
1,17,3,5,5320
1,17,4,0,0
1,17,5,0,0
1,17,6,0,0
1,17,7,0,0
1,17,8,3,2919
1,17,9,2,271
1,17,10,3,1073
1,17,11,4,3924
1,17,12,0,0
1,17,13,0,0
1,17,14,0,0
1,17,15,0,0
1,17,16,5,9478
1,17,17,4,10918
1,17,18,3,6046
1,17,19,4,6179
1,17,20,0,0
1,17,21,0,0
1,17,22,0,0
1,17,23,0,0
1,17,24,2,2330
1,17,25,4,2251
1,17,26,3,2745
1,17,27,0,0
1,17,28,0,0
1,17,29,0,0
1,17,30,0,0
1,17,31,4,3446
1,18,0,8,3418
1,18,1,3,5872
1,18,2,3,885
1,18,3,4,568
1,18,4,3,2
1,18,5,0,0
1,18,6,0,0
1,18,7,0,0
1,18,8,3,4457
1,18,9,2,38
1,18,10,3,2504
1,18,11,4,8008
1,18,12,0,0
1,18,13,0,274
1,18,14,0,0
1,18,15,0,0
1,18,16,4,7976
1,18,17,4,9166
1,18,18,3,4019
1,18,19,4,8720
1,18,20,0,13
1,18,21,3,2341
1,18,22,0,0
1,18,23,1,69
1,18,24,1,22
1,18,25,5,2865
1,18,26,3,166
1,18,27,0,43
1,18,28,3,1735
1,18,29,2,993
1,18,30,0,0
1,18,31,5,785
1,19,0,6,1306
1,19,1,3,1034
1,19,2,2,0
1,19,3,0,0
1,19,4,6,1808
1,19,5,3,1767
1,19,6,0,0
1,19,7,0,0
1,19,8,3,663
1,19,9,2,584
1,19,10,0,0
1,19,11,4,7741
1,19,12,3,989
1,19,13,3,7875
1,19,14,0,0
1,19,15,0,0
1,19,16,3,4148
1,19,17,4,4074
1,19,18,3,1117
1,19,19,5,4884
1,19,20,3,6156
1,19,21,4,3319
1,19,22,0,0
1,19,23,3,841
1,19,24,0,0
1,19,25,3,4813
1,19,26,2,129
1,19,27,4,1504
1,19,28,4,5440
1,19,29,3,4690
1,19,30,0,0
1,19,31,5,0
1,20,0,1,130
1,20,1,2,21
1,20,2,0,0
1,20,3,0,0
1,20,4,4,2232
1,20,5,4,4837
1,20,6,1,806
1,20,7,3,1160
1,20,8,1,0
1,20,9,1,4
1,20,10,0,0
1,20,11,4,2149
1,20,12,4,6053
1,20,13,4,10487
1,20,14,0,0
1,20,15,2,3569
1,20,16,3,0
1,20,17,3,2853
1,20,18,0,0
1,20,19,4,142
1,20,20,5,5873
1,20,21,4,10762
1,20,22,0,0
1,20,23,3,5679
1,20,24,0,0
1,20,25,2,79
1,20,26,2,0
1,20,27,7,557
1,20,28,4,4015
1,20,29,3,3536
1,20,30,1,107
1,20,31,0,0
1,21,0,0,0
1,21,1,0,0
1,21,2,0,0
1,21,3,0,0
1,21,4,3,3483
1,21,5,4,2936
1,21,6,2,5361
1,21,7,3,1044
1,21,8,0,0
1,21,9,0,0
1,21,10,0,0
1,21,11,0,0
1,21,12,4,6617
1,21,13,5,4309
1,21,14,2,2397
1,21,15,4,5432
1,21,16,0,0
1,21,17,0,0
1,21,18,0,0
1,21,19,0,0
1,21,20,4,2940
1,21,21,5,2978
1,21,22,3,4805
1,21,23,3,10288
1,21,24,0,0
1,21,25,0,0
1,21,26,0,0
1,21,27,6,2
1,21,28,5,4900
1,21,29,3,1690
1,21,30,3,5683
1,21,31,0,0
1,22,0,0,0
1,22,1,0,0
1,22,2,0,0
1,22,3,0,0
1,22,4,4,6801
1,22,5,2,35
1,22,6,2,7676
1,22,7,4,4264
1,22,8,0,0
1,22,9,0,0
1,22,10,0,0
1,22,11,0,0
1,22,12,4,3442
1,22,13,3,0
1,22,14,3,11049
1,22,15,4,3802
1,22,16,0,0
1,22,17,0,0
1,22,18,0,0
1,22,19,0,0
1,22,20,3,1543
1,22,21,5,46
1,22,22,5,7025
1,22,23,4,8445
1,22,24,0,0
1,22,25,0,0
1,22,26,0,0
1,22,27,4,18
1,22,28,4,2807
1,22,29,1,1
1,22,30,4,7956
1,22,31,0,0
1,23,0,0,0
1,23,1,0,0
1,23,2,0,0
1,23,3,0,0
1,23,4,4,410
1,23,5,0,0
1,23,6,2,5731
1,23,7,2,3423
1,23,8,0,0
1,23,9,0,0
1,23,10,0,0
1,23,11,0,0
1,23,12,3,164
1,23,13,0,0
1,23,14,4,9805
1,23,15,4,5222
1,23,16,0,0
1,23,17,0,0
1,23,18,0,0
1,23,19,0,0
1,23,20,4,4204
1,23,21,0,0
1,23,22,5,11173
1,23,23,4,9615
1,23,24,0,0
1,23,25,0,0
1,23,26,0,0
1,23,27,4,0
1,23,28,0,179
1,23,29,0,0
1,23,30,5,8776
1,23,31,0,0
1,24,0,4,9052
1,24,1,1,796
1,24,2,0,0
1,24,3,6,10023
1,24,4,0,0
1,24,5,0,0
1,24,6,0,0
1,24,7,0,0
1,24,8,0,0
1,24,9,0,0
1,24,10,0,0
1,24,11,3,2
1,24,12,0,0
1,24,13,0,0
1,24,14,0,0
1,24,15,0,0
1,24,16,4,37
1,24,17,3,4002
1,24,18,3,5796
1,24,19,3,10663
1,24,20,0,0
